ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275743,3.105011,1.339494,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.347837,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.355069,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.361184,,ACCELERATE
-1,6.520875,6.489886,4.61105,4.588952,15.98896,0.2757432,3.105011,1.369126,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.374977,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.385324,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.393665,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.402035,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.408159,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.418674,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.425816,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.433733,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.441017,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.45111,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.457385,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.46416,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.471118,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275743,3.105011,1.479792,,ACCELERATE
